,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
5455,12611,Brook Lopez,MIL,35,215.9,127.912944,Stanford,USA,2008,1,10,78,15.9,6.7,1.3,7.1,0.064,0.135,0.187,0.63,0.06,2022-23
5456,12612,Chris Silva,DAL,26,203.2,106.140528,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,1,2.0,0.0,0.0,12.5,0.0,0.0,0.25,1.0,0.0,2022-23
5457,12613,Christian Braun,DEN,22,198.12,99.79024,Kansas,USA,2022,1,21,76,4.7,2.4,0.8,-4.3,0.042,0.1119999999999999,0.127,0.568,0.07,2022-23
5458,12614,Christian Koloko,TOR,23,213.36,104.32616,Arizona,Cameroon,2022,2,33,58,3.1,2.9,0.5,9.0,0.094,0.11,0.1,0.517,0.05,2022-23
5459,12615,Christian Wood,DAL,27,205.74,97.068688,UNLV,USA,Undrafted,Undrafted,Undrafted,67,16.6,7.3,1.8,-1.3,0.053,0.238,0.259,0.624,0.119,2022-23
5460,12616,Chuma Okeke,ORL,24,203.2,103.872568,Auburn,USA,2019,1,16,27,4.7,3.6,1.4,-10.8,0.049,0.132,0.121,0.488,0.1009999999999999,2022-23
5461,12617,Clint Capela,ATL,29,208.28,116.119552,,Switzerland,2014,1,25,65,12.0,11.0,0.9,-1.1,0.142,0.268,0.151,0.6559999999999999,0.045,2022-23
5462,12618,Coby White,CHI,23,195.58,88.45044,North Carolina,USA,2019,1,7,74,9.7,2.9,2.8,4.0,0.009,0.11,0.17,0.5720000000000001,0.159,2022-23
5463,12619,Cody Martin,CHA,27,198.12,92.98636,Nevada,USA,2019,2,36,7,5.0,3.4,1.6,-9.7,0.0559999999999999,0.109,0.121,0.4479999999999999,0.111,2022-23
5464,12620,Cody Zeller,MIA,30,210.82,108.86208,Indiana,USA,2013,1,4,15,6.5,4.3,0.7,-10.3,0.1169999999999999,0.2,0.175,0.659,0.077,2022-23
5465,12621,Cole Anthony,ORL,23,190.5,83.91452,North Carolina,USA,2020,1,15,60,13.0,4.8,3.9,-0.1,0.03,0.152,0.209,0.57,0.228,2022-23
5466,12622,Cole Swider,LAL,24,205.74,99.79024,Syracuse,USA,Undrafted,Undrafted,Undrafted,7,1.3,1.0,0.6,3.3,0.024,0.158,0.089,0.5,0.105,2022-23
5467,12623,Collin Sexton,UTA,24,187.96,86.18248,Alabama,USA,2018,1,8,48,14.3,2.2,2.9,0.1,0.032,0.0559999999999999,0.23,0.616,0.178,2022-23
5468,12624,Corey Kispert,WAS,24,198.12,101.604608,Gonzaga,USA,2021,1,15,74,11.1,2.8,1.2,-3.2,0.016,0.082,0.139,0.657,0.0559999999999999,2022-23
5469,12625,Cory Joseph,DET,31,190.5,90.7184,Texas,Canada,2011,1,29,62,6.9,1.7,3.5,-4.1,0.016,0.07,0.149,0.5579999999999999,0.256,2022-23
5470,12626,D'Angelo Russell,LAL,27,193.04,87.543256,Ohio State,USA,2015,1,2,71,17.8,3.0,6.2,1.5,0.016,0.075,0.225,0.605,0.2739999999999999,2022-23
5471,12627,Daishen Nix,HOU,21,193.04,102.511792,,USA,Undrafted,Undrafted,Undrafted,57,4.0,1.7,2.3,-8.2,0.018,0.091,0.149,0.447,0.191,2022-23
5472,12628,Dalano Banton,TOR,23,200.66,92.532768,Nebraska,Canada,2021,2,46,31,4.6,1.5,1.2,-6.5,0.036,0.13,0.2289999999999999,0.505,0.2019999999999999,2022-23
5473,12629,Dalen Terry,CHI,20,200.66,88.45044,Arizona,USA,2022,1,18,38,2.2,1.0,0.6,3.3,0.0559999999999999,0.1169999999999999,0.173,0.523,0.157,2022-23
5474,12630,Damian Jones,UTA,28,210.82,111.13004,Vanderbilt,USA,2016,1,30,41,3.5,3.0,0.4,-9.0,0.078,0.152,0.102,0.7190000000000001,0.044,2022-23
5475,12631,Chris Paul,PHX,38,182.88,79.3786,Wake Forest,USA,2005,1,4,59,13.9,4.3,8.9,2.3,0.0139999999999999,0.118,0.195,0.555,0.389,2022-23
5476,12632,Chris Duarte,IND,26,195.58,86.18248,Oregon,Dominican Republic,2021,1,13,46,7.9,2.5,1.4,-6.2,0.02,0.106,0.181,0.496,0.1009999999999999,2022-23
5477,12633,Chris Boucher,TOR,30,205.74,90.7184,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,76,9.4,5.5,0.4,-1.3,0.094,0.19,0.175,0.59,0.0289999999999999,2022-23
5478,12634,Chimezie Metu,SAC,26,205.74,102.0582,Southern California,USA,2018,2,49,66,4.9,3.0,0.6,6.7,0.068,0.206,0.168,0.639,0.08,2022-23
5479,12635,Bruce Brown,DEN,26,193.04,91.625584,Miami,USA,2018,2,42,80,11.5,4.1,3.4,0.8,0.0289999999999999,0.1159999999999999,0.174,0.5710000000000001,0.1639999999999999,2022-23
5480,12636,Bruno Fernando,ATL,24,208.28,108.86208,Maryland,Angola,2019,2,34,39,3.9,3.5,0.8,-8.9,0.123,0.19,0.159,0.5710000000000001,0.1169999999999999,2022-23
